ARTIST,SONG TITLE,DISC CODE
Rocky Horror Picture Show,"Touch-A, Touch-A, Touch-A, Touch Me",ZOOM-06470
Rocky Sharpe & The Replays,If You Wanna Be Happy,ZOOM-08536
Rocky Sharpe & The Replays,Never,ZOOM-08543
Rocky Sharpe & The Replays,Rama Lama Ding Dong,ZOOM-03298
Rocky Sharpe & The Replays,Shout Shout (Knock Yourself Out),ZOOM-03299
Rod Stewart,(Medley) Maggie May+Hot Legs+Da Ya Think I'm Sexy,ZOOM-08924
Rod Stewart,Baby Jane,ZOOM-01358
Rod Stewart,Brighton Beach,ZOOM-08150
Rod Stewart,Da Ya Think I'm Sexy,ZOOM-00825
Rod Stewart,Every Beat Of My Heart,ZOOM-01368
Rod Stewart,First Cut Is The Deepest,ZOOM-01360
Rod Stewart,Grace,ZOOM-08544
Rod Stewart,Have I Told You Lately,ZOOM-01359
Rod Stewart,Have You Ever Seen The Rain,ZOOM-05701
Rod Stewart,I Don't Want To Talk About It,ZOOM-00405
Rod Stewart,If Only,ZOOM-08994
Rod Stewart,Killing Of Georgie,ZOOM-00482
Rod Stewart,Maggie May,ZOOM-00440
Rod Stewart,Maggie May (Two Semitones Down) Acoustative,ZOOM-80170
Rod Stewart,Mandolin Wind,ZOOM-08817
Rod Stewart,Motown Song,ZOOM-08848
Rod Stewart,Sailing,ZOOM-00541
Rod Stewart,Tonight's The Night (Gonna Be Alright),ZOOM-01351
Rod Stewart,You Wear It Well,ZOOM-00820
Rod Stewart,Young Turks,ZOOM-08348
Rod Stewart,You're In My Heart,ZOOM-01376
Roger & Gavin Greenaway,Family Ness,ZOOM-00350
Roger Miller,King Of The Road,ZOOM-00778
Roger Whittaker,Durham Town,ZOOM-08614
Roger Whittaker,New World In The Morning,ZOOM-02164
Roger Whittaker,River Lady (A Little Goodbye),ZOOM-08279
Rolf Harris,Two Little Boys,ZOOM-02311
Roll Deep & Jodie Connor (Msolo),Good Times,ZOOM-03196
Roll Deep (Duet),Green Light,ZOOM-04530
Rolling Stones,(Medley) HonkyTonkWomen+AllOverNow+Route66+JumpJackFlash,ZOOM-05680
Rolling Stones,19th Nervous Breakdown,ZOOM-03033
Rolling Stones,Angie,ZOOM-03034
Rolling Stones,Brown Sugar,ZOOM-00424
Rolling Stones,Come On,ZOOM-01735
Rolling Stones,Dandelion,ZOOM-09169
Rolling Stones,Doom And Gloom,ZOOM-04313
Rolling Stones,Get Off Of My Cloud,ZOOM-01739
Rolling Stones,Honky Tonk Women,ZOOM-00244
Rolling Stones,It's All Over Now,ZOOM-01736
Rolling Stones,Jumpin' Jack Flash,ZOOM-01216
Rolling Stones,Last Time,ZOOM-01529
Rolling Stones,Let's Spend The Night Together,ZOOM-03035
Rolling Stones,Little Red Rooster,ZOOM-01737
Rolling Stones,Mother's Little Helper,ZOOM-03030
Rolling Stones,Not Fade Away,ZOOM-03036
Rolling Stones,Paint It Black,ZOOM-01740
Rolling Stones,Route 66,ZOOM-06233
Rolling Stones,Ruby Tuesday,ZOOM-03032
Rolling Stones,Satisfaction (I Can't Get No),ZOOM-04164
Rolling Stones,Spider And The Fly,ZOOM-90078
Rolling Stones,Start Me Up,ZOOM-03031
Rolling Stones,Street Fighting Man,ZOOM-03037
Rolling Stones,Sympathy For The Devil,ZOOM-04244
Rolling Stones,Time Is On My Side,ZOOM-01738
Rolling Stones,Tumbling Dice,ZOOM-04690
Rolling Stones,Under My Thumb,ZOOM-03021
Rolling Stones,Wild Horses,ZOOM-03038
Rolling Stones,You Better Move On,ZOOM-01734
Ronan Keating,If Tomorrow Never Comes,ZOOM-03585
Ronan Keating,Life Is A Rollercoaster,ZOOM-06406
Ronan Keating,When You Say Nothing At All,ZOOM-03552
Ronan Keating & Lulu (Duet),We've Got Tonight,ZOOM-05570
Ronan Keating & Yusuf Islam (Cat Stevens) (Duet),Father And Son,ZOOM-04448
Ronettes,Be My Baby,ZOOM-00522
Ronettes,Frosty The Snowman,ZOOM-00256
Ronettes,I Saw Mommy Kissing Santa Claus,ZOOM-00257
Ronettes,Sleigh Ride,ZOOM-00264
Ronnie Hilton,No Other Love,ZOOM-03489
Ronnie Hilton,Windmill In Old Amsterdam,ZOOM-03488
Rooster,Come Get Some,ZOOM-00031
Rooster,Staring At The Sun,ZOOM-00037
Rooster,You're So Right For Me,ZOOM-00040
Rose Royce,Car Wash,ZOOM-02189
Rose Royce,I Wanna Get Next To You,ZOOM-08190
Rose Royce,Love Don't Live Here Anymore,ZOOM-07849
Rose Royce,Wishing On A Star,ZOOM-02448
Rose-Marie,Answer To Everything,ZOOM-02743
Rose-Marie,When Your Old Wedding Ring Was New,ZOOM-02752
Route 94 & Jess Glynne,My Love,ZOOM-05303
Roxette,Dressed For Success,ZOOM-03951
Roxette,It Must Have Been Love,ZOOM-03855
Roxette,It Must Have Been Love (Acoustative Version),ZOOM-70068
Roxette,It Must Have Been Love (Acoustative) (Four Semitones Down),ZOOM-80203
Roxette,It Must Have Been Love (Acoustative) (Two Semitones Down),ZOOM-80202
Roxette,It Must Have Been Love (Acoustative) (Two Semitones Up),ZOOM-80204
Roxy Music,Angel Eyes,ZOOM-02456
Roxy Music,Dance Away,ZOOM-02457
Roxy Music,Jealous Guy,ZOOM-01649
Roxy Music,Love Is The Drug,ZOOM-02458
Roxy Music,Virginia Plain,ZOOM-02459
Roy Orbison,(Medley) 1 Pretty Woman+You Got It+I Drove All Night,ZOOM-06245
Roy Orbison,(Medley) 2 In Dreams+Dream Baby+Penny Arcade,ZOOM-06246
Roy Orbison,Actress,ZOOM-01845
Roy Orbison,Blue Angel,ZOOM-00957
Roy Orbison,Borne On The Wind,ZOOM-00182
Roy Orbison,Breakin' Up Is Breakin' My Heart,ZOOM-01844
Roy Orbison,California Blue,ZOOM-00956
Roy Orbison,Claudette,ZOOM-00544
Roy Orbison,Crowd,ZOOM-00181
Roy Orbison,Crying,ZOOM-00964
Roy Orbison,Dream Baby,ZOOM-00965
Roy Orbison,Falling,ZOOM-00183
Roy Orbison,Goodnight,ZOOM-00184
Roy Orbison,I Drove All Night,ZOOM-00960
Roy Orbison,I'm Hurtin',ZOOM-00180
Roy Orbison,In Dreams,ZOOM-00958
Roy Orbison,It's Over,ZOOM-00962
Roy Orbison,Lana,ZOOM-00185
Roy Orbison,"Oh, Pretty Woman",ZOOM-00230
Roy Orbison,Only The Lonely,ZOOM-00959
Roy Orbison,Penny Arcade,ZOOM-00966
Roy Orbison,Penny Arcade (Rock Version),ZOOM-07335
Roy Orbison,Pretty Papers,ZOOM-03056
Roy Orbison,Running Scared,ZOOM-00963
Roy Orbison,You Got It,ZOOM-00961
Roy Orbison & The Royal Philharmonic,Blue Angel,ZOOM-07838
Roy Orbison & The Royal Philharmonic,Crying,ZOOM-07832
Roy Orbison & The Royal Philharmonic,Dream Baby,ZOOM-07857
Roy Orbison & The Royal Philharmonic,I Drove All Night,ZOOM-07839
Roy Orbison & The Royal Philharmonic,I'm Hurtin',ZOOM-07802
Roy Orbison & The Royal Philharmonic,In Dreams,ZOOM-07784
Roy Orbison & The Royal Philharmonic,It's Over,ZOOM-07833
Roy Orbison & The Royal Philharmonic,Love Hurts,ZOOM-07912
Roy Orbison & The Royal Philharmonic,Love So Beautiful,ZOOM-07818
Roy Orbison & The Royal Philharmonic,"Oh, Pretty Woman",ZOOM-07840
Roy Orbison & The Royal Philharmonic,Only The Lonely,ZOOM-07841
Roy Orbison & The Royal Philharmonic,Running Scared,ZOOM-07811
Roy Orbison & The Royal Philharmonic,Uptown,ZOOM-07842
Roy Orbison & The Royal Philharmonic,You Got It,ZOOM-07834
Royal Blood,Little Monster,ZOOM-05747
Royal Blood,Out Of The Black,ZOOM-05748
Rubens,Hoops,ZOOM-06665
Rubettes,Baby I Know,ZOOM-05479
